2456605.500000000, A.D. 2013-Nov-09 00:00:00.0000, -5.118053934557531E+07,  1.065013822304858E+08,  5.217313804007917E+04,  1.784375014593617E+01, -4.350845796398445E+01, -5.282187357152685E+00,  3.941422869673517E+02,  1.181608850116837E+08, -4.694649380833310E+01,
2456605.541666667, A.D. 2013-Nov-09 01:00:00.0000, -5.111627534266480E+07,  1.063446965593172E+08,  3.315723216778781E+04,  1.785848112998368E+01, -4.353915152938109E+01, -5.282203894805787E+00,  3.935783411889702E+02,  1.179918183206040E+08, -4.697946110706835E+01,
2456605.583333333, A.D. 2013-Nov-09 02:00:00.0000, -5.105195822775587E+07,  1.061879002355403E+08,  1.414127650044504E+04,  1.787325685038593E+01, -4.356993170643977E+01, -5.282215013304796E+00,  3.930139989724737E+02,  1.178226327803674E+08, -4.701252119379397E+01,
2456605.625000000, A.D. 2013-Nov-09 03:00:00.0000, -5.098758783937908E+07,  1.060309929465831E+08, -4.874709368845244E+03,  1.788807753995896E+01, -4.360079892341285E+01, -5.282220665822524E+00,  3.924492592008897E+02,  1.176533280561139E+08, -4.704567452634723E+01,
2456605.666666667, A.D. 2013-Nov-09 04:00:00.0000, -5.092316401522379E+07,  1.058739743783264E+08, -2.389070567758700E+04,  1.790294343323401E+01, -4.363175361158269E+01, -5.282220805083202E+00,  3.918841207517286E+02,  1.174839038113295E+08, -4.707892156579877E+01,
2456605.708333333, A.D. 2013-Nov-09 05:00:00.0000, -5.085868659213192E+07,  1.057168442150932E+08, -4.290669249227157E+04,  1.791785476647395E+01, -4.366279620528966E+01, -5.282215383357413E+00,  3.913185824969445E+02,  1.173143597078348E+08, -4.711226277648225E+01,
2456605.750000000, A.D. 2013-Nov-09 06:00:00.0000, -5.079415540609169E+07,  1.055596021396369E+08, -6.192264970677046E+04,  1.793281177768975E+01, -4.369392714196030E+01, -5.282204352456940E+00,  3.907526433028958E+02,  1.171446954057723E+08, -4.714569862602450E+01,
2456605.791666667, A.D. 2013-Nov-09 07:00:00.0000, -5.072957029223131E+07,  1.054022478331310E+08, -8.093855704058187E+04,  1.794781470665723E+01, -4.372514686213591E+01, -5.282187663729580E+00,  3.901863020303056E+02,  1.169749105635957E+08, -4.717922958537584E+01,
2456605.833333333, A.D. 2013-Nov-09 08:00:00.0000, -5.066493108481264E+07,  1.052447809751571E+08, -9.995439403728719E+04,  1.796286379493404E+01, -4.375645580950142E+01, -5.282165268053827E+00,  3.896195575342221E+02,  1.168050048380568E+08, -4.721285612884098E+01,
2456605.875000000, A.D. 2013-Nov-09 09:00:00.0000, -5.060023761722466E+07,  1.050872012436938E+08, -1.189701400627450E+05,  1.797795928587676E+01, -4.378785443091466E+01, -5.282137115833561E+00,  3.890524086639766E+02,  1.166349778841940E+08, -4.724657873411001E+01,
2456605.916666667, A.D. 2013-Nov-09 10:00:00.0000, -5.053548972197700E+07,  1.049295083151057E+08, -1.379857743033764E+05,  1.799310142465822E+01, -4.381934317643583E+01, -5.282103156992569E+00,  3.884848542631446E+02,  1.164648293553199E+08, -4.728039788228996E+01,
2456605.958333333, A.D. 2013-Nov-09 11:00:00.0000, -5.047068723069339E+07,  1.047717018641308E+08, -1.570012757644968E+05,  1.800829045828510E+01, -4.385092249935741E+01, -5.282063340969110E+00,  3.879168931695031E+02,  1.162945589030087E+08, -4.731431405793662E+01,
2456606.000000000, A.D. 2013-Nov-09 12:00:00.0000, -5.040582997410498E+07,  1.046137815638697E+08, -1.760166232684849E+05,  1.802352663561558E+01, -4.388259285623446E+01, -5.282017616710292E+00,  3.873485242149897E+02,  1.161241661770843E+08, -4.734832774908669E+01,
2456606.041666667, A.D. 2013-Nov-09 13:00:00.0000, -5.034091778204370E+07,  1.044557470857734E+08, -1.950317954530840E+05,  1.803881020737742E+01, -4.391435470691513E+01, -5.281965932666473E+00,  3.867797462256605E+02,  1.159536508256070E+08, -4.738243944729041E+01,
2456606.083333333, A.D. 2013-Nov-09 14:00:00.0000, -5.027595048343548E+07,  1.042975980996317E+08, -2.140467707694967E+05,  1.805414142618604E+01, -4.394620851457160E+01, -5.281908236785494E+00,  3.862105580216476E+02,  1.157830124948614E+08, -4.741664964764448E+01,
2456606.125000000, A.D. 2013-Nov-09 15:00:00.0000, -5.021092790629335E+07,  1.041393342735604E+08, -2.330615274806727E+05,  1.806952054656294E+01, -4.397815474573144E+01, -5.281844476506915E+00,  3.856409584171164E+02,  1.156122508293431E+08, -4.745095884882544E+01,
2456606.166666667, A.D. 2013-Nov-09 16:00:00.0000, -5.014584987771069E+07,  1.039809552739904E+08, -2.520760436594004E+05,  1.808494782495433E+01, -4.401019387030918E+01, -5.281774598756124E+00,  3.850709462202221E+02,  1.154413654717462E+08, -4.748536755312326E+01,
2456606.208333333, A.D. 2013-Nov-09 17:00:00.0000, -5.008071622385409E+07,  1.038224607656543E+08, -2.710902971864626E+05,  1.810042351974995E+01, -4.404232636163839E+01, -5.281698549938375E+00,  3.845005202330671E+02,  1.152703560629499E+08, -4.751987626647558E+01,
2456606.250000000, A.D. 2013-Nov-09 18:00:00.0000, -5.001552676995646E+07,  1.036638504115745E+08, -2.901042657487532E+05,  1.811594789130212E+01, -4.407455269650408E+01, -5.281616275932764E+00,  3.839296792516552E+02,  1.150992222420053E+08, -4.755448549850215E+01,
2456606.291666667, A.D. 2013-Nov-09 19:00:00.0000, -4.995028134030989E+07,  1.035051238730510E+08, -3.091179268373917E+05,  1.813152120194504E+01, -4.410687335517544E+01, -5.281527722086093E+00,  3.833584220658494E+02,  1.149279636461224E+08, -4.758919576253974E+01,
